node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
6560 6561 348 0.7401 -0.7184 -11.0460 0.8001 -0.5758 -11.2424 0.0400 2.4728 18.2918 2 2 348  
5960 5961 316 -0.9688 -1.9653 -9.1665 -1.2097 -2.0316 -9.1573 0.0400 2.4794 18.4155 2 2 316  
59 60 1 -0.1790 -2.0585 -15.3087 -0.2315 -2.0663 -15.5530 0.2000 2.4840 20.0000 1 2 1  
5355 5356 283 -1.1630 -0.4252 -9.4708 -1.3911 -0.3762 -9.5608 0.0400 2.4873 18.5388 2 2 283  
4747 4748 250 2.0231 -1.8266 -9.3326 2.2049 -1.8686 -9.4990 0.0400 2.4965 18.6617 2 2 250  
4137 4138 217 2.3944 -0.3339 -8.6681 2.5773 -0.2938 -8.8337 0.0400 2.5070 18.7842 2 2 217  
60 61 1 -0.2315 -2.0663 -15.5530 -0.2493 -2.0410 -15.6998 0.2000 2.5133 20.0000 1 2 1  
3523 3524 184 2.5593 -1.5212 -8.1589 2.7154 -1.5931 -8.3405 0.0400 2.5189 18.9062 2 2 184  
2907 2908 151 -1.3442 -0.1638 -8.4679 -1.4870 -0.0780 -8.6543 0.0400 2.5320 19.0279 2 2 151  
2286 2287 118 -0.2968 -2.5849 -7.8845 -0.2858 -2.6585 -8.1232 0.0400 2.5465 19.1491 2 2 118  
1034 1035 51 2.5142 -0.8465 -6.8426 2.6112 -0.8470 -7.0174 0.0400 2.5519 19.3903 2 2 51  
61 62 1 -0.2493 -2.0410 -15.6998 -0.2434 -2.0579 -15.9492 0.2000 2.5621 20.0000 1 2 1  
1662 1663 85 2.2393 -0.6229 -7.4285 2.3478 -0.6955 -7.6417 0.0400 2.5623 19.2699 2 2 85  
404 405 17 -2.5496 -1.4042 -6.0714 -2.6433 -1.3669 -6.3002 0.0400 2.5703 19.5103 2 2 17  
9505 9506 508 0.0411 -1.9984 -13.2070 -0.1920 -2.0663 -13.2670 0.0400 2.5849 17.6667 2 2 508  
52 10086 540 0.0719 -2.0066 -13.7820 -0.0815 -1.8282 -13.8666 0.0400 2.5851 17.5403 2 2 540  
8923 8924 476 0.0085 -2.1003 -12.6305 -0.2157 -2.2108 -12.6246 0.0400 2.5860 17.7926 2 2 476  
8337 8338 444 0.2079 -2.5321 -12.0772 0.0934 -2.7414 -12.1519 0.0400 2.5884 17.9180 2 2 444  
7748 7749 412 0.4753 -1.1643 -11.9622 0.3482 -1.0170 -12.1192 0.0400 2.5920 18.0430 2 2 412  
7156 7157 380 0.8994 -2.8442 -10.7553 0.9470 -3.0883 -10.7808 0.0400 2.5969 18.1676 2 2 380  
6561 6562 348 0.8001 -0.5758 -11.2424 0.8599 -0.4348 -11.4400 0.0400 2.6031 18.2918 2 2 348  
5961 5962 316 -1.2097 -2.0316 -9.1573 -1.4553 -2.0782 -9.1516 0.0400 2.6106 18.4155 2 2 316  
